Fecha,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Luisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississipi,Misuri,Montana,Nebraska,Nevada,Nuevo Hampshire,Nueva Jersey,Nuevo Mexico,Nueva York,Carolina Del Norte,Dakota Del Norte,Ohio,Oklahoma,Oregon,Pensilvania,Puerto Rico,Rhode Island,Carolina Del Sur,Dakota Del Sur,Tennessee,Texas,Utah,Vermont,Virginia,Washington,"Washington, D.C.",West Virginia,Wisconsin,Wyoming,No Identificado
01/01/16,50.099652,10.167609,161.72711,44.44709,1915.799961,126.369191,16.986159,9.553395,253.302238,229.88413,6.699988,19.393955,323.697396,64.763781,28.328715,41.734397,32.004624,75.768944,1.769411,36.080021,16.607212,59.458907,124.821371,25.468737,39.564011,3.529297,32.198832,67.172661,4.494705,95.617789,34.538863,247.663324,126.635946,14.00044,43.641937,53.513186,58.468863,54.103928,2.550643,4.701546,59.315406,5.957924,87.374064,870.530883,42.386076,4.781726,69.395792,110.960706,2.414377,5.485142,69.880926,9.634688,62.011682
01/04/16,57.2199,10.037139,163.018069,53.311005,2040.834354,145.299532,20.504345,12.383045,275.045854,274.725203,7.518995,28.026923,333.746553,71.829182,32.523243,45.538275,40.117964,95.817975,1.749669,47.637079,21.497974,70.720307,128.670986,29.845035,49.650396,5.871424,34.416083,70.441755,5.540608,108.733317,36.631509,283.03783,165.598192,18.171637,56.079589,58.722387,64.574097,68.228601,2.211951,5.801995,75.877867,9.049429,108.931871,962.218505,46.786794,5.409311,90.687663,139.06439,3.445043,6.445898,71.323909,10.401972,73.35908
01/07/16,53.275548,10.599515,156.262128,53.03961,2009.391016,159.967991,19.931289,12.360048,248.531143,244.340005,7.117749,29.294152,321.970144,72.040911,33.156647,45.839355,45.3563,87.537859,2.245356,44.19157,21.271684,75.649821,125.027808,28.083005,48.561916,5.243068,37.279023,72.071173,5.477015,106.41816,36.800428,271.300808,177.54514,16.653351,57.08817,57.192516,70.788713,64.260252,2.42043,5.643253,72.265537,8.531427,108.786013,956.762661,48.519756,5.068721,87.394375,168.448364,3.423124,6.416532,69.796747,11.052475,74.713837
01/10/16,54.243503,9.342459,163.480872,52.130181,2032.846882,157.078537,19.852477,11.118586,264.748229,241.269221,7.25953,26.561056,332.042227,72.289024,33.436394,47.431149,44.822967,93.565828,1.863718,42.805269,19.352315,70.692561,128.931086,30.225497,47.934326,4.816941,37.184633,71.273169,5.42969,103.990311,37.152174,273.500001,163.921421,16.410992,54.849063,56.828702,67.914538,62.611233,2.516041,5.494595,70.474538,8.290356,107.752063,981.186671,48.057682,5.09488,84.325374,144.657115,2.871896,6.33527,71.494571,10.203071,71.096344
01/01/17,57.395979,7.785573,184.934463,50.175877,2073.520534,149.959018,17.480507,10.767506,296.870557,253.47278,7.181886,21.525848,333.788271,73.419078,30.3228,45.827525,38.55721,86.372952,2.15193,36.712242,17.106061,69.45678,136.445988,26.795775,45.863378,4.624426,32.425316,74.98267,5.274035,96.098683,37.099471,271.159698,158.580432,12.237108,51.463164,57.307949,65.754276,57.991543,2.682813,4.009953,77.151351,6.129861,114.587377,995.452415,45.815891,6.288246,81.114952,134.90142,2.594232,5.853336,76.167267,9.61548,74.266686
01/04/17,62.152445,9.003733,178.746615,57.286993,2228.447573,186.973863,20.893945,12.64028,297.044708,278.702831,8.029746,29.520343,357.12006,78.829375,33.946447,50.931992,44.18804,99.126687,1.866525,46.458832,21.768875,79.145713,135.411704,32.788366,55.367509,5.434525,38.26626,78.084542,5.590908,112.362619,40.653138,309.483655,180.152659,18.605551,62.304657,62.363175,72.633178,70.001642,2.890494,4.89441,82.103712,8.220372,119.645951,1120.65794,52.930677,5.441055,93.271464,157.830369,2.918589,6.538849,78.097719,11.02693,86.753408
01/07/17,59.801312,8.917128,173.519341,55.384425,2205.538327,182.047597,20.697822,12.565041,262.863713,264.827921,8.089479,31.781512,359.196465,79.752065,35.402083,50.905194,50.674638,98.328776,2.269347,46.125638,21.969727,89.034087,137.047209,31.4153,54.920226,5.887281,39.567092,80.087612,5.510506,110.21763,41.308795,278.49548,194.547421,19.028781,63.971144,62.942202,79.523546,69.963368,2.916232,4.956767,78.905513,8.944226,123.619315,1110.958156,53.539003,5.513969,96.804125,192.563107,2.828135,6.684993,77.51027,12.179072,64.697379
01/10/17,62.383053,9.20212,182.504983,57.483286,2328.277237,201.881141,20.50025,11.774295,295.60652,274.697419,8.495867,31.912545,365.225775,79.974931,35.771398,52.893632,52.107433,105.767354,1.988294,45.868456,22.528714,84.568128,144.944959,32.936655,54.908757,5.903113,40.67451,80.427531,5.623032,108.088243,42.927476,324.531127,183.479437,19.495511,62.597545,63.658167,82.216621,70.753874,3.022103,5.021744,79.994353,9.283038,124.873093,1169.300069,56.866294,5.691641,95.582179,174.4163,2.901876,6.705928,80.502742,11.817613,65.350205
01/01/18,52.681426,7.578815,197.114351,48.550024,2129.661322,180.27333,16.847075,9.858941,289.265318,233.747847,7.169369,23.23963,299.520175,71.645466,30.035458,45.994989,37.188002,80.992025,2.221537,31.843855,18.169513,71.351903,174.48479,22.504333,43.990438,5.0871,30.348311,77.539337,5.435285,92.299791,45.27776,236.321762,148.397267,13.842572,52.161088,56.26316,69.287861,53.764795,0.406023,3.548584,73.567265,6.972432,108.261338,1101.537089,52.754135,6.683528,78.034844,141.791895,2.830647,7.049949,74.145794,10.12195,90.893592
01/04/18,74.602477,9.933889,215.136508,59.798897,2655.181729,226.862397,22.920829,13.880228,350.133814,326.85857,9.434676,37.114065,400.558328,96.279495,42.05516,59.979066,51.328516,119.737674,2.098991,53.345052,25.871677,95.347009,175.868719,37.360505,63.484615,6.322712,45.110149,94.307342,6.169993,163.40072,52.551929,324.113115,208.377743,21.988726,73.218105,74.201258,90.517835,78.167226,3.512745,5.767118,15.920715,90.332482,144.033662,1339.183304,66.881501,6.41117,110.095253,199.543721,4.760925,7.507438,94.328899,13.177108,55.513781
01/07/18,66.246933,9.623478,204.419444,51.316715,2395.639257,230.974353,21.14502,13.037244,296.953245,292.130607,8.712663,36.206521,358.757447,89.025337,39.918162,54.20363,53.607344,108.750073,2.349892,49.043222,24.307328,98.942169,165.333447,33.577385,58.117625,5.978593,41.689488,85.922863,5.786672,142.939306,49.633561,287.606037,201.724228,21.003211,69.98478,67.842684,89.657093,72.814063,3.204165,5.332464,86.117268,10.243393,137.950022,1203.704775,61.379925,6.00268,104.443599,209.159857,5.439537,7.646265,86.73055,12.689429,52.466302
