Pais,Ene-Mar 2018,Abr-Jun 2018,Jul-Sep 2018
Afganistan,0.002106,0.003391,0.006755
Albania,0.00457,0.005664,0.004929
Alemania,0.87096,0.670794,0.73546
Angola,0.002606,0.00263,0.003625
Anguila,0.005144,0.000022,0
Antigua y Barbuda,0.004099,0,0
Antillas Holandesas,0.000733,0.001333,0.002134
Arabia Saudita,0.002004,0.001014,0.002022
Argelia,0.012688,0.014909,0.009052
Argentina,2.668648,3.042381,2.773798
Armenia,0.003398,0.00821,0.004282
Aruba,0.018121,0.017078,0.019818
Australia,0.219417,0.264101,0.243249
Austria,0.052136,0.073391,0.08887
Azerbaiyan,0.003888,0.021045,0.028122
Bahamas,0.008756,0.01228,0.002287
Bahrein,0.003582,0.00488,0.001316
Bangladesh,0.048879,0.086274,0.067963
Barbados,0.005538,0.000951,0.000755
Belgica,0.094153,0.097893,0.12224
Belice,0.098788,0.094785,0.122931
Benin,0.470391,0.377942,0.523566
Bermudas,0,0,0
Bielorrusia,0.023115,0.016063,0.034148
Bolivia,0.566341,0.616467,0.71886
Bonaire,0,0,0
Bosnia-Herzegovina,0.002433,0,0.000257
Botswana,0.000298,0.000835,0.000316
Brasil,1.861921,1.951477,2.117689
Brunei,0.000155,0.000034,0
Bulgaria,0.07885,0.102574,0.050573
Burkina Faso,0.03914,0.044645,0.034237
Burundi,0.000766,0.001062,0.00171
Butan,0.008006,0.00635,0.039656
Cabo Verde,0,0,0.00011
Camboya,0.040021,0.101762,0.086813
Camerun,0.132115,0.190749,0.345628
Canada,3.262605,3.540805,3.356019
Chad,0.00038,0.000071,0.0001
Chile,2.048696,2.046205,2.097024
China,18.927826,17.828168,18.314039
Chipre,0.008976,0.019362,0.037467
Cisjordania,0.000246,0.002131,0.003006
Colombia,34.146336,39.852421,40.745121
Comores,0,0,0
Corea del Norte,0.000155,0,0
Corea del Sur,1.00163,0.67002,1.097449
Costa de Marfil,0.108894,0.164469,0.334536
Costa Rica,0.934844,1.078491,1.012865
Croacia,0.002561,0.003727,0.007227
Cuba,0,0,0
Curazao,0.006622,0.003969,0.000592
Dinamarca,0.01015,0.019252,0.018173
Djibouti,0.000725,0,0.000125
Dominica,0.013698,0.012758,0.008242
Ecuador,1.882547,2.261189,2.200744
Egipto,0.09303,0.087713,0.115267
El Salvador,1.656386,1.796486,1.73699
Emiratos Arabes Unidos,0.190312,0.245132,0.250401
Eslovaquia,0.041176,0.07978,0.180755
Eslovenia,0.005333,0.003631,0.008765
Espana,3.503036,4.123556,3.800952
Estados Unidos,88.753484,123.352093,113.338455
Estonia,0.004585,0.001518,0.00449
Etiopia,0.01663,0.008157,0.003217
Federacion Rusa,0.424661,0.643059,0.558862
Filipinas,0.595091,0.609903,0.54089
Finlandia,0.013456,0.025209,0.033341
Fiyi,0.00509,0.00815,0.004375
Francia,1.112237,1.132855,1.124613
Gabon,0.001924,0.001888,0.00137
Gambia,0.00205,0.003574,0.002176
Georgia,0.008816,0.008217,0.005025
Ghana,0.273528,0.349085,0.31921
Gibraltar,0,0,0
Granada,0.001265,0.003551,0.003212
Grecia,0.053,0.069881,0.08525
Guadalupe,0.001144,0.000014,0.0004
Guam,0.00258,0.002584,0.000394
Guatemala,4.845865,5.391021,5.534467
Guayana Francesa,0.000076,0,0
