Fecha,Money Orders,Cheques Personales,Transferencias Electronicas,Efectivo
01/01/95,98.1427,2.0648,132.81,21.5547
01/02/95,90.7991,1.4335,131.30,24.5272
01/03/95,104.209,2.0369,157.20,23.9163
01/04/95,118.2196,2.792,155.25,22.648
01/05/95,144.386,2.726,189.67,20.9533
01/06/95,142.5336,2.7017,175.58,31.5583
01/07/95,132.0604,1.3004,179.45,30.089
01/08/95,155.8545,2.8595,175.69,27.8705
01/09/95,134.9185,1.5737,161.31,16.3471
01/10/95,124.9983,3.1779,172.54,23.7902
01/11/95,98.3346,1.6128,132.46,23.1894
01/12/95,111.8314,1.9221,127.97,32.5624
01/01/96,117.252,2.6261,149.23,44.3967
01/02/96,100.6053,1.1009,151.02,29.2027
01/03/96,116.176,5.2858,183.90,31.957
01/04/96,152.621,9.5368,205.57,25.6553
01/05/96,145.4985,8.045,222.55,37.4498
01/06/96,130.7826,9.8696,197.77,26.825
01/07/96,138.2641,7.5525,197.91,29.9431
01/08/96,151.9365,10.6265,193.11,30.3987
01/09/96,115.2315,4.2409,189.28,30.5007
01/10/96,128.2713,5.5765,192.43,22.6238
01/11/96,99.9469,4.2519,167.56,43.8424
01/12/96,123.1132,6.08,171.52,54.5504
01/01/97,117.607,4.3898,167.60,49.0504
01/02/97,110.2971,2.0718,185.94,33.2821
01/03/97,123.4019,5.8655,218.83,33.8093
01/04/97,155.3842,5.5838,235.39,29.1801
01/05/97,168.1975,10.9127,268.35,39.2244
01/06/97,174.7165,10.3746,242.02,26.4462
01/07/97,173.2139,6.6553,232.30,29.5202
01/08/97,156.4143,6.5981,235.92,29.9693
01/09/97,158.4465,6.5413,236.41,30.07
01/10/97,159.8338,6.4851,233.05,22.3043
01/11/97,108.2239,6.4293,185.55,43.2232
01/12/97,123.0781,6.374,196.52,53.78
01/01/98,111.8904,4.7625,215.78,50.1024
01/02/98,103.0103,3.5756,223.00,36.8141
01/03/98,122.9946,3.67,263.86,36.6673
01/04/98,161.1573,5.1911,240.24,33.4111
01/05/98,170.0546,6.6678,297.57,46.0794
01/06/98,193.0901,5.253,272.70,32.4464
01/07/98,179.7522,5.5211,279.53,29.5202
01/08/98,169.7849,5.2986,281.55,29.9693
01/09/98,161.8645,5.389,278.97,30.07
01/10/98,153.3686,5.177,273.82,22.3043
01/11/98,148.2942,5.409,263.77,43.2232
01/12/98,195.451,5.58,359.46,53.78
01/01/99,95.5724,2.9452,249.62,51.5029
01/02/99,88.336,1.9428,263.63,34.9462
01/03/99,112.8963,2.8645,313.64,35.4997
01/04/99,110.6934,2.963,324.89,30.6391
01/05/99,140.8904,3.415,386.07,41.1856
01/06/99,141.4545,5.8997,346.80,27.7685
01/07/99,132.1972,6.0676,337.88,30.5193
01/08/99,145.0551,5.7025,350.36,30.9837
01/09/99,131.4046,5.4602,322.53,31.0877
01/10/99,114.4552,4.6257,332.37,23.0592
01/11/99,112.5269,4.4857,340.31,44.6862
01/12/99,122.8688,4.8354,366.95,93.0837
01/01/00,108.3258,0.6069,294.78,52.533
01/02/00,104.2078,0.4648,306.52,35.9946
01/03/00,117.0774,1.0388,339.77,36.5647
01/04/00,116.7947,0.7745,349.40,31.8646
